Year,County,PDI Number,PDI,Observed,Expected,"Risk Adjusted Rate Per 100,000 People",Difference in Rates
2009,STATEWIDE,PDI_14,Asthma,242.83,242.83,,
2010,STATEWIDE,PDI_14,Asthma,205.77,205.77,,
2011,STATEWIDE,PDI_14,Asthma,206.28,206.28,,
2012,STATEWIDE,PDI_14,Asthma,210.39,210.39,,
2009,STATEWIDE,PDI_15,Diabetes Short-term Complications,27.72,27.72,,
2010,STATEWIDE,PDI_15,Diabetes Short-term Complications,24.73,24.73,,
2011,STATEWIDE,PDI_15,Diabetes Short-term Complications,24.95,24.95,,
2012,STATEWIDE,PDI_15,Diabetes Short-term Complications,23.74,23.74,,
2009,STATEWIDE,PDI_16,Gastroenteritis,130.33,130.33,,
2010,STATEWIDE,PDI_16,Gastroenteritis,102.54,102.54,,
2011,STATEWIDE,PDI_16,Gastroenteritis,99.77,99.77,,
2012,STATEWIDE,PDI_16,Gastroenteritis,87.89,87.89,,
2009,STATEWIDE,PDI_18,Urinary Tract Infection,43.75,43.75,,
2010,STATEWIDE,PDI_18,Urinary Tract Infection,42.09,42.09,,
2011,STATEWIDE,PDI_18,Urinary Tract Infection,39.55,39.55,,
2012,STATEWIDE,PDI_18,Urinary Tract Infection,34.02,34.02,,
2009,STATEWIDE,PDI_90,Pediatric Quality Overall Composite,267.46,267.46,,
2010,STATEWIDE,PDI_90,Pediatric Quality Overall Composite,235.55,235.55,,
2011,STATEWIDE,PDI_90,Pediatric Quality Overall Composite,231.22,231.22,,
2012,STATEWIDE,PDI_90,Pediatric Quality Overall Composite,224.67,224.67,,
2009,STATEWIDE,PDI_91,Pediatric Quality Acute Composite,73.23,73.23,,
2010,STATEWIDE,PDI_91,Pediatric Quality Acute Composite,71.34,71.34,,
2011,STATEWIDE,PDI_91,Pediatric Quality Acute Composite,63.78,63.78,,
2012,STATEWIDE,PDI_91,Pediatric Quality Acute Composite,57.91,57.91,,
2009,STATEWIDE,PDI_92,Pediatric Quality Chronic Composite,194.23,194.23,,
2010,STATEWIDE,PDI_92,Pediatric Quality Chronic Composite,164.22,164.22,,
2011,STATEWIDE,PDI_92,Pediatric Quality Chronic Composite,167.44,167.44,,
2012,STATEWIDE,PDI_92,Pediatric Quality Chronic Composite,166.76,166.76,,
2009,Albany,PDI_14,Asthma,156.84,200.54,189.91,-43.7
2010,Albany,PDI_14,Asthma,89.6,169.26,108.92,-79.67
2011,Albany,PDI_14,Asthma,107.75,171.05,129.94,-63.3
2012,Albany,PDI_14,Asthma,87.26,184.48,99.51,-97.22
2009,Albany,PDI_15,Diabetes Short-term Complications,25.8,27.18,26.31,-1.38
2010,Albany,PDI_15,Diabetes Short-term Complications,28.8,24.28,29.33,4.51
2011,Albany,PDI_15,Diabetes Short-term Complications,23.69,25.03,23.61,-1.34
2012,Albany,PDI_15,Diabetes Short-term Complications,24.53,24.15,24.11,0.38
2009,Albany,PDI_16,Gastroenteritis,57.41,115.73,64.65,-58.32
2010,Albany,PDI_16,Gastroenteritis,61.81,85.99,73.7,-24.18
2011,Albany,PDI_16,Gastroenteritis,92.53,87.95,104.96,4.58
2012,Albany,PDI_16,Gastroenteritis,51.73,76.14,59.71,-24.42
2009,Albany,PDI_18,Urinary Tract Infection,18.04,35.39,22.3,-17.35
2010,Albany,PDI_18,Urinary Tract Infection,31.74,34.13,39.14,-2.39
2011,Albany,PDI_18,Urinary Tract Infection,28.09,32.32,34.37,-4.23
2012,Albany,PDI_18,Urinary Tract Infection,36.05,30.37,40.38,5.68
2009,Albany,PDI_90,Pediatric Quality Overall Composite,166.51,228.19,195.17,-61.68
2010,Albany,PDI_90,Pediatric Quality Overall Composite,136.78,201.88,159.6,-65.1
2011,Albany,PDI_90,Pediatric Quality Overall Composite,153.98,200.77,177.33,-46.79
2012,Albany,PDI_90,Pediatric Quality Overall Composite,138.25,201.91,153.83,-63.66
2009,Albany,PDI_91,Pediatric Quality Acute Composite,32.83,65.61,36.65,-32.77
2010,Albany,PDI_91,Pediatric Quality Acute Composite,43.19,64.11,48.07,-20.91
2011,Albany,PDI_91,Pediatric Quality Acute Composite,61.59,57.72,68.06,3.87
2012,Albany,PDI_91,Pediatric Quality Acute Composite,60.21,53.52,65.14,6.68
2009,Albany,PDI_92,Pediatric Quality Chronic Composite,133.68,162.58,159.7,-28.91
2010,Albany,PDI_92,Pediatric Quality Chronic Composite,93.59,137.77,111.55,-44.19
2011,Albany,PDI_92,Pediatric Quality Chronic Composite,92.39,143.06,108.14,-50.67
2012,Albany,PDI_92,Pediatric Quality Chronic Composite,78.05,148.39,87.71,-70.34
2009,Allegany,PDI_14,Asthma,176.99,124.81,344.37,52.19
2010,Allegany,PDI_14,Asthma,74.54,97.56,157.22,-23.02
2011,Allegany,PDI_14,Asthma,114.61,98.04,241.13,16.56
2012,Allegany,PDI_14,Asthma,49.56,90.7,114.95,-41.14
2009,Allegany,PDI_15,Diabetes Short-term Complications,14.1,23.02,16.98,-8.92
2010,Allegany,PDI_15,Diabetes Short-term Complications,29.16,20.14,35.8,9.02
2011,Allegany,PDI_15,Diabetes Short-term Complications,42.55,21.14,50.22,21.42
2012,Allegany,PDI_15,Diabetes Short-term Complications,26.73,18.09,35.08,8.64
2009,Allegany,PDI_16,Gastroenteritis,257.63,108.01,310.87,149.62
2010,Allegany,PDI_16,Gastroenteritis,70.94,71.5,101.74,-0.55
2011,Allegany,PDI_16,Gastroenteritis,416.5,78.96,526.25,337.54
2012,Allegany,PDI_16,Gastroenteritis,75.6,57.46,115.63,18.14
